Time of Tweet,Tweet,URL to Tweet
2018-06-25 14:27:07,The group chat is LIT! WhatsApp Text Analysis with R https://t.co/f4hWZInz88 https://t.co/6T5PyeTbOc,https://twitter.com/nick_bap/status/1011254466744635392
2018-06-10 22:01:39,RT @miguelgrinberg: Did you hear? My Flask Mega-Tutorial ebook and video are on sale this weekend at just $29. More information here: https…,https://twitter.com/nick_bap/status/1005933032849604608
2018-05-31 13:03:52,RT @beeonaposy: Pandas documentation includes a handy guide on how to translate #dplyr verbs into pandas equivalents. 😍 https://t.co/QYAsvf…,https://twitter.com/nick_bap/status/1002173817291079680
2018-05-13 02:17:42,"RT @dataandme: Brilliant bubbly…🍾
🎨 ""LaCroixColoR: LaCroix Color Palettes for R."" by @ArmitageDW &amp; @AwfulDodger 
https://t.co/F5UWv4x5fV #r…",https://twitter.com/nick_bap/status/995488224091951105
2018-05-04 23:41:20,@CoreyMSchafer Thank you so much for sharing this and all of your videos!,https://twitter.com/nick_bap/status/992549767971356672
2018-04-26 02:21:48,RT @kanyewest: burn that excel spread sheet 🔥😂,https://twitter.com/nick_bap/status/989328661001072640
2018-04-18 13:41:12,"Here's how I used Python, R, &amp; Tableau to analyze my WhatsApp group chat. https://t.co/c18YJnrYSp https://t.co/DPSJ4Elw0m",https://twitter.com/nick_bap/status/986600536051978240
2018-04-09 13:40:14,You can use Python to move files quickly and easily. Here's how. https://t.co/Q2QVxQ80Sy https://t.co/yd8D3g0QXP,https://twitter.com/nick_bap/status/983338799936745472
2018-03-21 01:56:23,RT @WeAreFetch: Congratulations to @zemilk who has been appointed CEO - Fetch US. https://t.co/WWKJ7at4KY https://t.co/GZDHerKqF8,https://twitter.com/nick_bap/status/976276301563674624
2018-03-20 04:51:13,"RT @dataandme: 👍 stuff! ""R for Excel users: Data Structures"" by @StephdeSilva https://t.co/ziJkcR7sCN #rstats https://t.co/Ndv9yPQA53",https://twitter.com/nick_bap/status/975957913851150336
2018-02-23 15:16:24,Google Drive is awesome and free. Here’s a look at an R package designed to interact with your Drive’s files.… https://t.co/9OPXcHCuaC,https://twitter.com/nick_bap/status/967055548620394496
2018-02-20 14:44:06,"Here’s part 2 of “Intermediate” Excel, Pivot Tables and Vlookup, with Python. https://t.co/hjwJUP4GFT https://t.co/X5iF8PHHSO",https://twitter.com/nick_bap/status/965960254725947392
2018-02-11 15:52:39,"RT @DataCamp: Discover Python regular expressions: find basic and complex patterns, repetitions, or to do (non-)greedy matching, work with…",https://twitter.com/nick_bap/status/962716018270285824
2018-02-06 15:01:25,"Let’s take a look at “Intermediate” Excel skills, Pivot Tables and Vlookup, with R. https://t.co/DvpXLaKAql https://t.co/Q4DjOA4wzy",https://twitter.com/nick_bap/status/960891184024571906
2018-01-30 12:35:38,RT @Rbloggers: Hardwired..for tidy text https://t.co/JgMCF3HdNI #rstats #DataScience,https://twitter.com/nick_bap/status/958317782528966659
2018-01-30 02:23:24,Good stuff @neilbautistaTM https://t.co/gNVaMr8tKU via @Bakersfieldcali,https://twitter.com/nick_bap/status/958163708974280704
2018-01-29 15:19:38,"Date formats can be a pain. Here’s a way to deal with them using Excel, R, or Python. https://t.co/vVVI7EAziW https://t.co/WJfTiA9GRS",https://twitter.com/nick_bap/status/957996665704763393
2018-01-27 03:19:33,"RT @dbader_org: How to install Python and Pip on Windows, from scratch https://t.co/p76Fg7VNIz",https://twitter.com/nick_bap/status/957090675316568065
2018-01-19 02:28:44,RT @RealPython: Excellent tutorial for R developers who are curious about using Python https://t.co/unFGYp5HRJ,https://twitter.com/nick_bap/status/954178785460469762
2018-01-17 14:38:29,"RT @dbader_org: Great tutorial on Matplotlib—the basic terminology, a breakdown of all the components in a plot + some nice examples https:…",https://twitter.com/nick_bap/status/953637656033820672
2018-01-16 14:40:06,"Hey! Just started a blog. I’ll share Data related posts that make my life easier. Hopefully they can help you too!

 https://t.co/5wDrbQBi2Z",https://twitter.com/nick_bap/status/953275672763416577
2018-01-14 06:55:48,RT @dbader_org: Python string formatting shootout: %-formatting vs str.format vs Python 3.6 f-strings vs Template strings https://t.co/owq9…,https://twitter.com/nick_bap/status/952434055278092289
2017-11-01 03:08:48,@kpezdaspencer 🙄,https://twitter.com/nick_bap/status/925560225687412736
2017-11-01 03:07:28,@kpezdaspencer You don’t even eat cheese?,https://twitter.com/nick_bap/status/925559889404993536
2017-03-17 02:04:15,"RT @PGATOURCanada: It's windy, but low scores can be had at Carlton Oaks.

Neil Bautista's 3-under 69 is proof, and it moved him 21 spots u…",https://twitter.com/nick_bap/status/842557160877834241
2016-03-26 01:32:09,RT @BarstoolBigCat: Bye https://t.co/v3fLvwN97G,https://twitter.com/nick_bap/status/713539001983041536
2016-02-03 21:00:30,RT @neilbautistaTM: Couldn't be more excited to make my professional debut tomorrow at the Motor City/ESPN Bakersfield Open! #ImAProNow htt…,https://twitter.com/nick_bap/status/694988857201197056
2012-09-20 15:25:05,@matparker24 good luck slut,https://twitter.com/nick_bap/status/248804986325200896
2012-04-04 21:27:38,RT @CNET: iPhone users: Android is ruining our Instagram club http://t.co/oWDnhM9L,https://twitter.com/nick_bap/status/187652673011593218
2012-02-08 05:44:27,@matparker24 wow dude,https://twitter.com/nick_bap/status/167121594072825856
